seed,model_tag,mode,factor,n_coords,ci_level,lower_q,upper_q,within_count,coverage_pct,quad_error,mse,rmse,eval_version,method
53,gp,1,1,15,80.0,10.0,90.0,1,6.666666666666667,1.248102628224772,1.2364720297180003,1.111967638790806,blambda_actual,blf_gp
53,gp,1,2,15,80.0,10.0,90.0,4,26.666666666666668,2.7382047325047822,2.5648496011723574,1.6015147833137091,blambda_actual,blf_gp
53,gp,1,3,15,80.0,10.0,90.0,3,20.0,3.272979764247986,3.0643201325008467,1.7505199606119453,blambda_actual,blf_gp
53,gp,2,1,25,80.0,10.0,90.0,10,40.0,1.3035416259362362,0.6257860611086847,0.7910664075213185,blambda_actual,blf_gp
53,gp,2,2,25,80.0,10.0,90.0,3,12.0,7.508506714793996,3.828073027543456,1.956546198673432,blambda_actual,blf_gp
53,gp,2,3,25,80.0,10.0,90.0,3,12.0,3.5108466142307746,1.7014174564032334,1.3043839374981714,blambda_actual,blf_gp
53,alt_fourier,1,1,15,80.0,10.0,90.0,8,53.333333333333336,0.4665137718712916,0.4675987683067196,0.6838119392835428,lambda_projected_optimum,blf_gp
53,alt_fourier,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.4902503222504569,0.485718139022509,0.6969348169108134,lambda_projected_optimum,blf_gp
53,alt_fourier,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0624493427677605,0.0582916210798918,0.2414365777588222,lambda_projected_optimum,blf_gp
53,alt_fourier,2,1,25,80.0,10.0,90.0,16,64.0,1.041617546429382,0.5068119085638849,0.7119072331167067,lambda_projected_optimum,blf_gp
53,alt_fourier,2,2,25,80.0,10.0,90.0,11,44.0,1.6667297538365118,0.8721415934447695,0.9338852142767704,lambda_projected_optimum,blf_gp
53,alt_fourier,2,3,25,80.0,10.0,90.0,25,100.0,0.0652136438087129,0.0313269770872178,0.1769942854648642,lambda_projected_optimum,blf_gp
53,alt_fourier,1,1,15,80.0,10.0,90.0,7,46.66666666666666,0.5711473566842753,0.5566171183677481,0.746067770626602,blambda_actual,blf_gp
53,alt_fourier,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.5750630182598601,0.568710091317552,0.7541286967869291,blambda_actual,blf_gp
53,alt_fourier,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0701712506405783,0.0664490954191722,0.2577772205203016,blambda_actual,blf_gp
53,alt_fourier,2,1,25,80.0,10.0,90.0,12,48.0,1.3058811608715817,0.6336889052854258,0.7960457934600407,blambda_actual,blf_gp
53,alt_fourier,2,2,25,80.0,10.0,90.0,9,36.0,2.212323895543656,1.1632894318343114,1.0785589607593604,blambda_actual,blf_gp
53,alt_fourier,2,3,25,80.0,10.0,90.0,23,92.0,0.1651069597220642,0.0872637569607215,0.2954043956354095,blambda_actual,blf_gp
53,alt_bspline,1,1,15,80.0,10.0,90.0,8,53.333333333333336,0.376099022923558,0.3922941517944331,0.626333898008429,lambda_projected_optimum,blf_gp
53,alt_bspline,1,2,15,80.0,10.0,90.0,9,60.0,0.2558335171768115,0.2510452120035725,0.5010441218132117,lambda_projected_optimum,blf_gp
53,alt_bspline,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0461391111552687,0.0440236756556112,0.209818196674195,lambda_projected_optimum,blf_gp
53,alt_bspline,2,1,25,80.0,10.0,90.0,16,64.0,0.6733649262137691,0.3293299058776407,0.5738727262012376,lambda_projected_optimum,blf_gp
53,alt_bspline,2,2,25,80.0,10.0,90.0,18,72.0,0.4315016807074577,0.2250278423201164,0.4743709964996979,lambda_projected_optimum,blf_gp
53,alt_bspline,2,3,25,80.0,10.0,90.0,22,88.0,0.0912884228052437,0.0438384875280565,0.2093764254352827,lambda_projected_optimum,blf_gp
53,alt_bspline,1,1,15,80.0,10.0,90.0,8,53.333333333333336,0.3559319574434837,0.3718066641287246,0.6097595133564745,blambda_actual,blf_gp
53,alt_bspline,1,2,15,80.0,10.0,90.0,9,60.0,0.2536643502320718,0.2484323093355835,0.4984298439455482,blambda_actual,blf_gp
53,alt_bspline,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0456687908479561,0.0438297266585376,0.2093555030529116,blambda_actual,blf_gp
53,alt_bspline,2,1,25,80.0,10.0,90.0,16,64.0,0.6669318521666121,0.3263667135476972,0.5712851420680369,blambda_actual,blf_gp
53,alt_bspline,2,2,25,80.0,10.0,90.0,17,68.0,0.449184558218429,0.234723031460976,0.4844822302840177,blambda_actual,blf_gp
53,alt_bspline,2,3,25,80.0,10.0,90.0,21,84.0,0.0775923835915664,0.0373470143222999,0.1932537562954468,blambda_actual,blf_gp
54,gp,1,1,15,80.0,10.0,90.0,9,60.0,0.1527970685860796,0.1663271523901618,0.4078322601145743,lambda_projected_optimum,blf_gp
54,gp,1,2,15,80.0,10.0,90.0,9,60.0,0.1148371126826308,0.1115751617537438,0.3340286840283987,lambda_projected_optimum,blf_gp
54,gp,1,3,15,80.0,10.0,90.0,5,33.333333333333336,0.1693739751766336,0.1795845493592018,0.4237741725957374,lambda_projected_optimum,blf_gp
54,gp,2,1,25,80.0,10.0,90.0,25,100.0,0.1255018304190686,0.0606618376463635,0.2462962396106841,lambda_projected_optimum,blf_gp
54,gp,2,2,25,80.0,10.0,90.0,15,60.0,0.9919753833629358,0.4773934195736529,0.6909366248605243,lambda_projected_optimum,blf_gp
54,gp,2,3,25,80.0,10.0,90.0,6,24.0,1.85491682993202,0.899258059243401,0.9482921803133256,lambda_projected_optimum,blf_gp
54,gp,1,1,15,80.0,10.0,90.0,8,53.333333333333336,0.1206578663370526,0.1362666724648567,0.3691431598511027,blambda_actual,blf_gp
54,gp,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.3140477183893269,0.2936418590618561,0.5418873121432686,blambda_actual,blf_gp
54,gp,1,3,15,80.0,10.0,90.0,7,46.66666666666666,0.2166996147398263,0.2082195800326864,0.4563108370756566,blambda_actual,blf_gp
54,gp,2,1,25,80.0,10.0,90.0,24,96.0,0.2493075749241676,0.1197909148339642,0.3461082414996271,blambda_actual,blf_gp
54,gp,2,2,25,80.0,10.0,90.0,8,32.0,2.331213721323873,1.134861287275992,1.065298684536873,blambda_actual,blf_gp
54,gp,2,3,25,80.0,10.0,90.0,2,8.0,3.0788228615093285,1.5399214847250826,1.2409357294900822,blambda_actual,blf_gp
54,alt_fourier,1,1,15,80.0,10.0,90.0,10,66.66666666666667,0.1418005414246856,0.1355650219124289,0.3681915560037043,lambda_projected_optimum,blf_gp
54,alt_fourier,1,2,15,80.0,10.0,90.0,14,93.33333333333331,0.0399179797036983,0.0392280025769469,0.1980606032934034,lambda_projected_optimum,blf_gp
54,alt_fourier,1,3,15,80.0,10.0,90.0,12,80.0,0.066099041204719,0.0819200268030602,0.2862167479429885,lambda_projected_optimum,blf_gp
54,alt_fourier,2,1,25,80.0,10.0,90.0,19,76.0,0.6359519962068683,0.3087853456410729,0.5556845738735897,lambda_projected_optimum,blf_gp
54,alt_fourier,2,2,25,80.0,10.0,90.0,24,96.0,0.0813258688030957,0.039199640554629,0.1979889909935122,lambda_projected_optimum,blf_gp
54,alt_fourier,2,3,25,80.0,10.0,90.0,24,96.0,0.0794070584984557,0.0386218331832678,0.1965243831774261,lambda_projected_optimum,blf_gp
54,alt_fourier,1,1,15,80.0,10.0,90.0,9,60.0,0.3601707625355353,0.3373771027894543,0.5808417192225902,blambda_actual,blf_gp
54,alt_fourier,1,2,15,80.0,10.0,90.0,9,60.0,0.2532245384087855,0.2363597949876891,0.4861684841571789,blambda_actual,blf_gp
54,alt_fourier,1,3,15,80.0,10.0,90.0,12,80.0,0.056387059913676,0.0714707244100065,0.2673400912882437,blambda_actual,blf_gp
54,alt_fourier,2,1,25,80.0,10.0,90.0,10,40.0,2.107616027277422,1.044008784878224,1.0217674808283066,blambda_actual,blf_gp
54,alt_fourier,2,2,25,80.0,10.0,90.0,5,20.0,3.735756792346166,1.803455086159071,1.3429278037776533,blambda_actual,blf_gp
54,alt_fourier,2,3,25,80.0,10.0,90.0,22,88.0,0.1092599412301423,0.0524648699632676,0.2290521118943627,blambda_actual,blf_gp
54,alt_bspline,1,1,15,80.0,10.0,90.0,9,60.0,0.0685797131314249,0.0676194322134799,0.2600373669561355,lambda_projected_optimum,blf_gp
54,alt_bspline,1,2,15,80.0,10.0,90.0,9,60.0,0.0586678878800891,0.0547893828435564,0.2340713199936217,lambda_projected_optimum,blf_gp
54,alt_bspline,1,3,15,80.0,10.0,90.0,7,46.66666666666666,0.1134530005777061,0.11109517654114,0.3333094306213673,lambda_projected_optimum,blf_gp
54,alt_bspline,2,1,25,80.0,10.0,90.0,9,36.0,0.204958579017957,0.1147816914370124,0.3387944678370833,lambda_projected_optimum,blf_gp
54,alt_bspline,2,2,25,80.0,10.0,90.0,21,84.0,0.084355739420485,0.0427649117772185,0.2067967886047038,lambda_projected_optimum,blf_gp
54,alt_bspline,2,3,25,80.0,10.0,90.0,13,52.0,1.1269204866417784,0.5413405677738612,0.7357584982681894,lambda_projected_optimum,blf_gp
54,alt_bspline,1,1,15,80.0,10.0,90.0,10,66.66666666666667,0.059677491144933,0.0592770963956238,0.2434688817808631,blambda_actual,blf_gp
54,alt_bspline,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.0622637996826585,0.0581259832084996,0.241093308095641,blambda_actual,blf_gp
54,alt_bspline,1,3,15,80.0,10.0,90.0,8,53.333333333333336,0.103975971552599,0.1012848848538381,0.3182528630724917,blambda_actual,blf_gp
54,alt_bspline,2,1,25,80.0,10.0,90.0,10,40.0,0.1969022658606215,0.1104484526785545,0.3323378592314673,blambda_actual,blf_gp
